"","RL-VZ","RL-SVZ","Early UBCs","Late UBCs","GCP","Early GN","GN"
"PRDM6",0.0379064878438241,0.0216931464610744,0.0231314977204897,0.0466403322128246,0.0775559545905158,0.0542666677313553,0.0275304963439071
"GFI1",0,0,0,0,0,0,0
"MAX",0.64082412536783,0.419323309758762,0.511237420508845,0.513214528125659,0.496606588186878,0.566688865692602,0.610320959539486
"E2F6",0.0670552188218058,0.111482691199958,0.0498914472820769,0.0634052093833262,0.135440631561614,0.0582504590155961,0.0756070610603987
"TFDP1",0.40275396861976,0.632282883238821,0.314499527357732,0.373625467223676,0.543822017309165,0.510374784581905,0.426098486270965
"FOXP2",15.6896505100961,13.6106429106109,6.20244766768123,1.25415684195653,9.61824402565823,1.51133887964168,1.06520951228957
