gene,p_val,avg_log2FC,pct.1,pct.2,p_val_adj
Nadk,8.362677040066417e-15,-0.30951112448428214,0.09,0.258,1.7561621784139475e-10
Hnrnpk,9.195944534863451e-15,0.47860543765892993,0.847,0.845,1.9311483523213247e-10
Nfasc,1.0474789747977786e-14,-0.7078848867309748,0.488,0.715,2.199705847075335e-10
Klhl5,1.0524432814691797e-14,-0.3467968239025359,0.079,0.238,2.2101308910852774e-10
Tusc3,1.1129255226954018e-14,-0.34178457261111134,0.069,0.217,2.337143597660344e-10
Fam69a,1.145447941155769e-14,-0.39525419635084774,0.093,0.255,2.405440676427115e-10
Srsf11,1.1471724272936411e-14,-0.37557871747763316,0.183,0.401,2.4090620973166465e-10
Rnf122,1.2093076987065903e-14,-0.3534733570003621,0.105,0.277,2.53954616728384e-10
Pcp4,1.2141682229857911e-14,-0.5698859026173344,0.221,0.446,2.5497532682701614e-10
Sh3gl1,1.2432317131219978e-14,-0.3233455166795804,0.104,0.273,2.6107865975561954e-10
Nsdhl,1.2652665619572242e-14,-0.33979212116589325,0.093,0.262,2.6570597801101706e-10
Tor1a,1.2950858123478056e-14,-0.32870134858878064,0.102,0.277,2.719680205930392e-10
Tkt,1.4998100824193847e-14,0.5105159338792362,0.754,0.725,3.149601173080708e-10
Plekha2,1.774562676877127e-14,-0.3996442670182512,0.129,0.311,3.726581621441967e-10
C330006K01Rik,2.45424111448199e-14,-0.3659163659721021,0.141,0.331,5.153906340412179e-10
A230009B12Rik,2.4676795748512798e-14,0.7261292866719861,0.22,0.073,5.182127107187688e-10
Efhd1,2.593203164730651e-14,-0.46083457382908044,0.343,0.571,5.445726645934367e-10
Shisa4,2.7310824479167962e-14,-0.4405029796419526,0.495,0.742,5.735273140625272e-10
Ccdc34,2.7577725718401418e-14,-0.4025045632077924,0.233,0.464,5.791322400864298e-10
Chchd7,2.96208003700764e-14,-0.3650696856352632,0.169,0.373,6.220368077716045e-10
Upf3a,3.176462473252732e-14,-0.25741411598599573,0.042,0.17,6.670571193830738e-10
Grb14,3.9256064862659944e-14,-0.3870490794187469,0.884,0.951,8.243773621158589e-10
Prkcz,4.3746320580862666e-14,-0.40155202327670003,0.595,0.831,9.18672732198116e-10
Tram1,4.382463815727675e-14,-0.2557404237165665,0.042,0.169,9.203174013028118e-10
Macrod2,4.404020457174396e-14,-0.3001208064867611,0.073,0.223,9.248442960066231e-10
Cd82,4.450682464562414e-14,0.5965781345211751,0.679,0.603,9.346433175581069e-10
Lpar6,5.294472587815026e-14,-0.332994111008634,0.061,0.202,1.1118392434411554e-9
2310047M10Rik,5.486345452829893e-14,-0.2759411220664592,0.029,0.142,1.1521325450942776e-9
Rdx,6.170795855552608e-14,-0.45029443748755127,0.45,0.702,1.2958671296660478e-9
Ppfibp2,6.230694744044096e-14,0.6427445970497381,0.422,0.268,1.3084458962492603e-9
Tsc22d3,6.30574374332606e-14,-0.4459351096825501,0.306,0.545,1.3242061860984725e-9
Trip12,6.709406599213357e-14,-0.39965180864006516,0.097,0.255,1.408975385834805e-9
Far1,7.132377070722128e-14,-0.3382240352756386,0.138,0.33,1.497799184851647e-9
Pycr2,7.87824502982828e-14,-0.38617227605376536,0.313,0.566,1.6544314562639388e-9
Aplp1,8.234589295025488e-14,-0.35128063450074,0.884,0.955,1.7292637519553526e-9
BC024659,8.294371042559304e-14,-0.33766290098575463,0.102,0.266,1.741817918937454e-9
Laptm4a,8.560063488736601e-14,0.5885630742588321,0.611,0.543,1.7976133326346862e-9
Uba52,8.794436222765966e-14,-0.3780116937584289,0.197,0.416,1.846831606780853e-9
Atat1,1.0742814209329156e-13,-0.37579741211798445,0.231,0.455,2.2559909839591226e-9
1110008P14Rik,1.1301725634563324e-13,-0.3839673837324886,0.217,0.427,2.373362383258298e-9
Dennd5a,1.1905889835991592e-13,-0.40974757025597275,0.382,0.642,2.500236865558234e-9
Tspan6,1.2410962784964753e-13,-0.26667896867429275,0.041,0.163,2.6063021848425984e-9
Atp2c1,1.396113556201828e-13,-0.34790226913873207,0.119,0.29,2.9318384680238387e-9
Pigz,1.577156634554528e-13,0.6567036656276402,0.574,0.47,3.312028932564509e-9
Psmd3,1.613751555247253e-13,-0.31099726771443914,0.141,0.326,3.3888782660192313e-9
Vapa,1.6673880326507408e-13,-0.3521781475715303,0.147,0.333,3.5015148685665558e-9
Sema6a,1.71510841171064e-13,-0.5059571390031445,0.334,0.588,3.6017276645923443e-9
Caprin1,1.7177068871650922e-13,-0.29881622635592214,0.128,0.307,3.6071844630466935e-9
Ndufb10,1.7641581343375607e-13,0.444137887195589,0.817,0.83,3.7047320821088776e-9
Yeats4,1.7873254710090285e-13,-0.25633209745709873,0.045,0.169,3.75338348911896e-9
Ctsd,1.8624693434041229e-13,0.5236507902319159,0.661,0.59,3.911185621148658e-9
Atp2b1,1.9899338581114605e-13,-0.3752539306011171,0.311,0.551,4.178861102034067e-9
Asrgl1,2.0239031528779338e-13,-0.39003436621670673,0.518,0.762,4.250196621043661e-9
Scrg1,2.084403644366913e-13,-0.34262370898864963,0.072,0.215,4.3772476531705176e-9
Onecut2,2.0992308459955035e-13,-0.4486269265702782,0.063,0.195,4.408384776590557e-9
2700089E24Rik,2.1573202983969744e-13,-0.3065637058454611,0.142,0.331,4.530372626633646e-9
Id3,2.3054176226670766e-13,-0.4906600840881914,0.042,0.161,4.8413770076008605e-9
Epm2aip1,2.3087302205433763e-13,-0.29479278310873974,0.102,0.266,4.84833346314109e-9
Lima1,2.427499302350086e-13,-0.32749632217206315,0.074,0.217,5.09774853493518e-9
Pdzd8,2.540412896860291e-13,-0.27377050311029427,0.041,0.161,5.3348670834066114e-9
1500011H22Rik,2.6023342819946676e-13,-0.2744512800631095,0.037,0.152,5.464901992188802e-9
Hspa5,2.926197826707558e-13,0.657216230716287,0.74,0.702,6.145015436085872e-9
Cxcl12,3.0801275439362964e-13,-0.47161815042582045,0.058,0.185,6.4682678422662225e-9
Me1,3.2738148418591493e-13,-0.2671933001583106,0.027,0.131,6.875011167904213e-9
Lims2,3.3302402688054744e-13,-0.3686802371350867,0.237,0.453,6.993504564491496e-9
C030030A07Rik,3.355454398327081e-13,0.704194614639898,0.464,0.333,7.0464542364868705e-9
Tmed2,3.5583849121043124e-13,-0.31955405634195727,0.101,0.258,7.472608315419056e-9
Paqr6,3.618818500765902e-13,0.5371634862276623,0.134,0.021,7.599518851608395e-9
Top1,3.745235649620032e-13,-0.371177546848076,0.298,0.541,7.864994864202068e-9
Lyar,3.8785715262934635e-13,-0.28740474850200326,0.063,0.2,8.145000205216273e-9
Csnk1a1,4.1017646885316373e-13,-0.43835396201709287,0.38,0.607,8.613705845916438e-9
Zc3h15,4.397499835174381e-13,-0.34309935020757654,0.191,0.395,9.2347496538662e-9
Ldlrap1,4.4227510642945923e-13,-0.25424944659578047,0.031,0.139,9.287777235018644e-9
Myeov2,4.547737626974113e-13,-0.35207786196957724,0.578,0.831,9.550249016645636e-9
Pla2g4a,4.908935332631671e-13,-0.3365505975006988,0.095,0.249,1.030876419852651e-8
Slc22a17,4.927433526227211e-13,-0.39603728262436766,0.373,0.616,1.0347610405077143e-8
Arpc1a,5.073654857650082e-13,-0.3314637564999261,0.96,0.994,1.0654675201065171e-8
Ndrg1,5.100200305820825e-13,0.41537390611700875,0.921,0.871,1.0710420642223732e-8
Sptlc2,5.123133937866487e-13,-0.27121360406885825,0.09,0.243,1.0758581269519623e-8
Bub3,5.319642558095586e-13,0.5389173999346524,0.623,0.551,1.117124937200073e-8
Ostf1,6.075187962472878e-13,-0.3423923035261365,0.151,0.335,1.2757894721193044e-8
Sgcb,6.365258195565055e-13,-0.3574701144926754,0.221,0.434,1.3367042210686614e-8
Vps37a,6.697932466514227e-13,-0.36665766955434603,0.1,0.253,1.4065658179679877e-8
Pea15a,6.980694272263619e-13,-0.4144844524432214,0.691,0.869,1.46594579717536e-8
Jph4,7.002525097879834e-13,0.6083378815679057,0.243,0.097,1.4705302705547651e-8
Scd3,7.338971805160067e-13,0.46197878102550044,0.107,0.007,1.541184079083614e-8
Atp2a2,7.379009446887025e-13,-0.41346134879312535,0.237,0.442,1.5495919838462753e-8
Ddost,7.408109982661064e-13,-0.3476321731867283,0.132,0.305,1.5557030963588232e-8
9530068E07Rik,7.80002828877261e-13,-0.3193191083043163,0.231,0.453,1.6380059406422483e-8
Tmem30a,8.010528630911184e-13,-0.3963052847257651,0.343,0.588,1.6822110124913486e-8
Mtap7d2,8.084554721672682e-13,0.7698572839264044,0.405,0.275,1.697756491551263e-8
Tbc1d16,8.707140019171334e-13,-0.3467228603691383,0.109,0.264,1.82849940402598e-8
C630043F03Rik,9.608469863621276e-13,-0.38398960428342827,0.088,0.234,2.017778671360468e-8
Carns1,9.829251795099224e-13,-0.2624791403542519,0.051,0.176,2.064142876970837e-8
Ephb1,9.853182664390503e-13,-0.33611351277080015,0.238,0.463,2.0691683595220057e-8
Erbb3,1.0697149136367502e-12,-0.35658362764180573,0.138,0.311,2.2464013186371755e-8
Tmx4,1.0716254515176334e-12,-0.35828442892984186,0.101,0.255,2.25041344818703e-8
Mid1ip1,1.1567207357160771e-12,0.6032816819838132,0.721,0.672,2.429113545003762e-8
Bcap31,1.1733117603044861e-12,0.5427284788471118,0.666,0.622,2.4639546966394208e-8
Hsd17b7,1.1938911212718918e-12,-0.31950038554964244,0.086,0.232,2.507171354670973e-8
Gng3,1.5649358054515556e-12,-0.4085376202649153,0.109,0.264,3.286365191448267e-8
Odz4,1.7994971636645321e-12,-0.32508478806362884,0.059,0.184,3.778944043695518e-8
Sys1,1.8657148865276287e-12,-0.33061050562773586,0.159,0.343,3.9180012617080206e-8
Hn1l,1.8970365166394103e-12,-0.25994297664229027,0.04,0.154,3.9837766849427616e-8
Slc25a11,2.0577592939014973e-12,-0.334830583934956,0.219,0.425,4.3212945171931446e-8
