gene,p_val,avg_log2FC,pct.1,pct.2,p_val_adj
Slc6a6,0.06181112106809866,-0.3658214614572045,0.065,0.509,1
Npy,0.10048063145019748,-0.3188985806965927,0.093,0.519,1
Rtn1,0.1390312919509872,-0.37730259582828696,0.387,0.694,1
Fxyd7,0.1622766231701714,-0.27573438702081077,0.183,0.556,1
Spock2,0.19857660601865848,-0.3829004124192199,0.159,0.546,1
Cd74,0.3110290308580264,0.4058565540515604,0.005,0.294,1
Mbp,0.3264051014992921,-0.46356298066624446,0.275,0.598,1
Gfap,0.39514896543975186,-0.5069017396144451,0.135,0.543,1
Nav1,0.41948515005439174,-0.25500424475786176,0.083,0.543,1
Id1,0.5657587757658656,-0.6034285304426219,0.217,0.578,1
Tmsb10,0.6162093285830488,-0.48970368730951397,0.348,0.674,1
Mtap1b,0.8751909261399833,-0.39165845750060524,0.253,0.61,1
Stmn3,0.8789770606324808,-0.4422819848004038,0.342,0.647,1
Gap43,0.9927179473436766,-0.4200878579230962,0.202,0.59,1
