gene,p_val,avg_log2FC,pct.1,pct.2,p_val_adj
Cox5a,7.797981846002205e-99,-1.975310796175265,0.347,0.83,1.637576187660463e-94
Apoe,4.024902078509729e-80,-2.05409578164947,0.997,0.998,8.45229436487043e-76
Atxn7l3b,4.581504196093858e-75,-1.5234651174282303,0.32,0.765,9.6211588117971e-71
Ckb,1.8208211231451426e-64,0.7078723835002281,1,0.998,3.8237243586047994e-60
Itm2b,4.8230897586299354e-63,-0.9456482953459635,0.889,0.978,1.0128488493122865e-58
Pfn1,2.1514858696573088e-60,-1.2052431823058938,0.071,0.467,4.518120326280349e-56
Cyc1,7.439249307543857e-60,-1.3280726934247602,0.265,0.681,1.56224235458421e-55
Ndufab1,3.2836713530515865e-55,-1.2622624194159158,0.303,0.704,6.895709841408332e-51
Gapdh,5.752950632764707e-50,0.7582078768377936,0.99,0.894,1.2081196328805884e-45
Tmem93,2.175614680063649e-48,-1.1169083418913082,0.12,0.491,4.568790828133662e-44
Mfge8,1.3698104505239096e-47,0.9297493032583342,0.986,0.891,2.87660194610021e-43
Mrfap1,1.4445412954282202e-45,-1.2177018902359695,0.29,0.642,3.0335367203992624e-41
Ier2,3.583610499026618e-45,-1.5592877700065726,0.089,0.422,7.525582047955899e-41
Eno1,3.300928996474387e-44,0.7414986139912441,0.99,0.859,6.931950892596213e-40
Tmem66,4.758986621270337e-44,-1.0948774007012374,0.397,0.733,9.993871904667708e-40
Prnp,6.886493126831494e-44,0.651693504894252,0.992,0.968,1.4461635566346137e-39
Clta,8.651807094022437e-44,-1.1409603548424088,0.247,0.602,1.816879489744712e-39
Hmgn1,2.14525474026718e-43,-1.1755537352200776,0.208,0.57,4.505034954561078e-39
Uqcrfs1,7.496400125635739e-41,-1.032050536958627,0.183,0.533,1.5742440263835054e-36
1190002H23Rik,8.389796688229307e-41,-1.342268639463229,0.22,0.56,1.7618573045281545e-36
Gstm1,3.6177294742593747e-40,0.6909891929174754,0.992,0.946,7.597231895944686e-36
Gm1673,4.048323936452316e-40,-0.8509290382298169,0.026,0.279,8.501480266549863e-36
2310036O22Rik,4.6074218616338105e-39,-0.9629984467909178,0.081,0.385,9.675585909431001e-35
