gene,p_val,avg_log2FC,pct.1,pct.2,p_val_adj
Atxn10,0.019208139732049274,0.2090778663077526,0.561,0.506,1
Fbln1,0.6142595895491894,0.013567310427783807,0.078,0.069,1
