,p_val,avg_log2FC,pct.1,pct.2,p_val_adj
Atxn10,1.21400328376607e-61,0.229075373483851,0.734,0.679,2.54940689590875e-57
Fbln1,0.0663341401709094,-0.000588706622387032,0.02,0.017,1
