gene,cell_type,p_val,avg_log2FC,pct.1,pct.2,p_val_adj
Napg,Microglia,1.7866626711530514e-10,-0.3873496253135179,0.108,0.28,3.751991609421408e-6
Baalc,Microglia,1.7961183774198378e-10,-0.2561228221926079,0.027,0.131,3.7718485925816593e-6
Sept6,Microglia,1.8285311558753157e-10,-0.29359862480884347,0.053,0.182,3.839915427338163e-6
1810014F10Rik,Microglia,1.830272971596053e-10,-0.31726030328854804,0.037,0.152,3.843573240351711e-6
Gpsm3,Microglia,1.8318629192449428e-10,0.6523158818168444,0.461,0.267,3.84691213041438e-6
Stxbp6,Microglia,1.860219702387701e-10,-0.3006474182219277,0.01,0.091,3.9064613750141725e-6
Mapk8,Microglia,1.888838513376824e-10,-0.32464340316583584,0.068,0.21,3.9665608780913305e-6
Rnf11,Microglia,1.9322550558835821e-10,-0.3140169813011816,0.059,0.195,4.057735617355523e-6
Xbp1,Microglia,2.010462293037982e-10,-0.35079083637372727,0.062,0.201,4.221970815379762e-6
Phldb1,Microglia,2.0980397598251248e-10,-0.317165269526313,0.01,0.091,4.405883495632762e-6
Coq7,Microglia,2.1027245040140115e-10,-0.39458695012385386,0.087,0.24,4.415721458429424e-6
Acaa1a,Microglia,2.106552041309516e-10,-0.3750903094381345,0.05,0.176,4.423759286749984e-6
Tomm5,Microglia,2.110610568065906e-10,-0.45285689573128374,0.182,0.392,4.432282192938403e-6
Ube2q2,Microglia,2.1321114504248988e-10,-0.2570839935788085,0.027,0.131,4.477434045892288e-6
Gcc2,Microglia,2.1515334197106448e-10,-0.3056195371534123,0.111,0.286,4.518220181392354e-6
Slc22a8,Microglia,2.16808324761696e-10,-0.6185333562513882,0.012,0.094,4.552974819995616e-6
Dcaf7,Microglia,2.1711475260165943e-10,-0.2830047056925798,0.076,0.225,4.559409804634848e-6
Anapc11,Microglia,2.190508133616386e-10,-0.5025030915560686,0.357,0.574,4.600067080594411e-6
Rnf220,Microglia,2.209518040563961e-10,-0.2985207007592884,0.059,0.195,4.639987885184318e-6
Sae1,Microglia,2.279873661444962e-10,-0.2849364940352179,0.083,0.237,4.78773468903442e-6
Dab2ip,Microglia,2.309901391081292e-10,-0.2552614337410614,0.021,0.116,4.850792921270714e-6
Itpr1,Microglia,2.31698851537345e-10,-0.36217486037554053,0.055,0.185,4.865675882284245e-6
Ndufs4,Microglia,2.317315301169933e-10,-0.5090296314200475,0.28,0.508,4.866362132456859e-6
Tssc1,Microglia,2.3237676422783643e-10,-0.2849962860116446,0.055,0.185,4.879912048784565e-6
1810008A18Rik,Microglia,2.391959597902487e-10,-0.29168202318035635,0.018,0.109,5.023115155595223e-6
Gjc3,Microglia,2.404149017547505e-10,-0.491484856519953,0.001,0.064,5.04871293684976e-6
Ift20,Microglia,2.4322224145120304e-10,-0.47436070684645215,0.253,0.474,5.107667070475264e-6
Tulp4,Microglia,2.4490558759123267e-10,-0.35772158969897033,0.09,0.246,5.1430173394158864e-6
Thoc7,Microglia,2.4872740516343026e-10,-0.3820522471162059,0.17,0.374,5.223275508432035e-6
Kank1,Microglia,2.4911732063384247e-10,-0.2879771850396021,0.001,0.064,5.231463733310692e-6
Ccdc104,Microglia,2.507947489453386e-10,-0.4506280581684815,0.117,0.286,5.2666897278521105e-6
Wwtr1,Microglia,2.520859241626044e-10,-0.28552903735799917,0.001,0.064,5.293804407414692e-6
Sybu,Microglia,2.521990515594499e-10,-0.27125894845608645,0.024,0.122,5.296180082748447e-6
Casp4,Microglia,2.5330074155484776e-10,0.7673654490161441,0.317,0.143,5.319315572651803e-6
Ywhah,Microglia,2.6291921393178255e-10,-0.6105431673748236,0.564,0.699,5.521303492567434e-6
Eif1ax,Microglia,2.744319372375186e-10,-0.35618475919873716,0.116,0.289,5.76307068198789e-6
Lamp2,Microglia,2.7647528975463664e-10,0.65058266465047,0.609,0.477,5.80598108484737e-6
Lpgat1,Microglia,2.811188926152193e-10,-0.337108622987989,0.065,0.204,5.903496744919605e-6
Ubtf,Microglia,2.8364840718013167e-10,-0.3174801118411596,0.084,0.237,5.956616550782765e-6
Slc25a11,Microglia,2.854267753398305e-10,-0.41634288818495946,0.209,0.426,5.99396228213644e-6
Timp4,Microglia,2.8598562305505686e-10,-0.403492130520211,0.007,0.082,6.005698084156194e-6
Abcd3,Microglia,2.9321681004739156e-10,-0.36276324657851633,0.071,0.213,6.157553010995223e-6
Arglu1,Microglia,3.0051952747341703e-10,-0.3948497275453472,0.12,0.292,6.310910076941757e-6
2010012O05Rik,Microglia,3.117894961558535e-10,-0.3848260786730069,0.136,0.322,6.547579419272923e-6
Ttc7b,Microglia,3.24550278263059e-10,-0.26061025800120935,0.033,0.14,6.815555843524239e-6
Pmvk,Microglia,3.3139650816048533e-10,-0.3653145689002106,0.084,0.234,6.959326671370192e-6
Pppde2,Microglia,3.384114940632615e-10,-0.31491080693717755,0.022,0.119,7.106641375328492e-6
Ptpn5,Microglia,3.7377179788790644e-10,-0.2534286206810605,0.043,0.161,7.849207755646036e-6
1700021F05Rik,Microglia,3.7544114136101585e-10,-0.357416986515822,0.084,0.234,7.884263968581332e-6
Rwdd2a,Microglia,3.75913705253018e-10,-0.2637148684712577,0.03,0.134,7.894187810313379e-6
Tsg101,Microglia,3.7914990522041217e-10,-0.47383528047303347,0.204,0.41,7.962148009628656e-6
Sfxn3,Microglia,3.870566692901257e-10,-0.292227758520187,0.041,0.158,8.12819005509264e-6
Daam1,Microglia,3.934719331457568e-10,-0.27631910101158746,0.03,0.134,8.262910596060892e-6
Zmynd8,Microglia,3.970910020657662e-10,-0.36206339036609625,0.123,0.298,8.33891104338109e-6
Bdnf,Microglia,4.0472022471900643e-10,-0.3872245400201382,0.018,0.106,8.499124719099134e-6
Nrip3,Microglia,4.072473593581124e-10,-0.2867413695489538,0.01,0.088,8.55219454652036e-6
Rapgef4,Microglia,4.1345971403333436e-10,-0.2525524372653105,0.027,0.128,8.682653994700022e-6
Tceb2,Microglia,4.1412458925763796e-10,-0.4141349908491625,0.653,0.79,8.696616374410397e-6
Tmcc3,Microglia,4.4235942904444267e-10,0.827950609733779,0.492,0.334,9.289548009933295e-6
Tbc1d7,Microglia,4.44819093973452e-10,-0.25395000107111443,0.03,0.134,9.341200973442492e-6
D16H22S680E,Microglia,4.6464805546853217e-10,-0.3280771477365101,0.11,0.277,9.757609164839175e-6
AU021092,Microglia,4.73831607901938e-10,-0.4768795586847067,0.006,0.076,9.950463765940697e-6
Rbm26,Microglia,4.7874420475138e-10,-0.4252321571369121,0.154,0.34,1.005362829977898e-5
Prom1,Microglia,4.92319382376995e-10,-0.27648740714465847,0.003,0.067,1.0338707029916896e-5
Minos1,Microglia,5.02899358128792e-10,-0.4676144474579562,0.559,0.769,1.0560886520704632e-5
Scamp1,Microglia,5.046596668358292e-10,-0.30861375277935227,0.095,0.252,1.0597853003552413e-5
Hcls1,Microglia,5.088503663479071e-10,0.638549991250001,0.484,0.301,1.0685857693306048e-5
Car10,Microglia,5.089973440631624e-10,-0.25892695379147845,0.033,0.14,1.0688944225326411e-5
Secisbp2l,Microglia,5.297119466986435e-10,-0.43546749223547454,0.065,0.198,1.1123950880671514e-5
Dner,Microglia,5.388113367620278e-10,-0.37784535853872936,0.031,0.134,1.1315038072002583e-5
Atp5j2,Microglia,5.399326511257526e-10,-0.40065184489530736,0.643,0.802,1.1338585673640804e-5
Bcl11b,Microglia,5.459073789709233e-10,-0.290940982593533,0.012,0.091,1.1464054958389389e-5
Ptpn6,Microglia,5.473231484571216e-10,0.656676489146846,0.523,0.353,1.1493786117599554e-5
Tspan6,Microglia,5.507980914634121e-10,-0.26620385597491114,0.012,0.091,1.1566759920731655e-5
Klhdc2,Microglia,5.623409462008016e-10,-0.3229393636667116,0.037,0.146,1.1809159870216834e-5
Cd48,Microglia,5.684168807773007e-10,0.7298240412847695,0.281,0.109,1.1936754496323316e-5
Tmem55a,Microglia,6.018280547503786e-10,-0.3275427160666541,0.043,0.158,1.263838914975795e-5
Plxdc2,Microglia,6.065348798014663e-10,0.6931424738786434,0.544,0.404,1.2737232475830792e-5
Cacna2d1,Microglia,6.239569052805751e-10,-0.4050449538220172,0.052,0.173,1.3103095010892076e-5
Dbi,Microglia,6.357223811733446e-10,-1.0391603016015378,0.439,0.626,1.3350170004640237e-5
Unc13a,Microglia,6.592897324650926e-10,-0.3022897689810399,0.034,0.14,1.3845084381766943e-5
Dmd,Microglia,6.702508620300257e-10,-0.25982632235777087,0.024,0.119,1.4075268102630538e-5
Lpxn,Microglia,6.788942751715819e-10,0.668528599228177,0.246,0.085,1.425677977860322e-5
Unc80,Microglia,6.819619159132226e-10,-0.25912380837078586,0.044,0.161,1.4321200234177675e-5
Homer1,Microglia,6.854607246008815e-10,-0.3758296606084025,0.049,0.167,1.4394675216618511e-5
Mink1,Microglia,6.903885237307731e-10,-0.28307021113288056,0.044,0.161,1.4498158998346235e-5
Tm4sf1,Microglia,6.92170169781455e-10,-0.6656361777360134,0.007,0.079,1.4535573565410555e-5
Nfia,Microglia,7.002056997302031e-10,-0.4692870530449491,0.141,0.316,1.4704319694334265e-5
Laptm4a,Microglia,7.044657012363176e-10,0.44723714886384247,0.818,0.769,1.479377972596267e-5
Sema3c,Microglia,7.087709316967197e-10,-0.3956649815711515,0.013,0.094,1.4884189565631115e-5
Nfe2l1,Microglia,7.093698514511565e-10,-0.318940660053625,0.079,0.222,1.4896766880474287e-5
Paqr5,Microglia,7.413135602293823e-10,-0.32860874783327787,0.001,0.061,1.556758476481703e-5
Mdh2,Microglia,7.480591077181647e-10,-0.5005935487809459,0.419,0.617,1.5709241262081458e-5
Ndufb6,Microglia,7.48400918706943e-10,-0.49557409508813444,0.25,0.447,1.57164192928458e-5
Emid1,Microglia,7.501179902253909e-10,-0.26645231365255395,0.001,0.061,1.575247779473321e-5
Cdh5,Microglia,7.558152201379418e-10,-0.3689621162356665,0.007,0.079,1.5872119622896776e-5
Actg1,Microglia,7.972226872837443e-10,-0.27613623928050135,0.972,0.985,1.6741676432958628e-5
Kif2a,Microglia,8.062128772553087e-10,-0.25836961505991707,0.03,0.131,1.693047042236148e-5
Nudt16,Microglia,8.220276184731147e-10,-0.2510406696575974,0.024,0.119,1.726257998793541e-5
BC005537,Microglia,8.272300504767642e-10,-0.33914272673334744,0.142,0.325,1.7371831060012047e-5
Mcart1,Microglia,8.409467736004344e-10,-0.31841899611911884,0.052,0.173,1.7659882245609123e-5
Myo10,Microglia,8.73639263917838e-10,-0.4155948862780767,0.015,0.097,1.83464245422746e-5
Necap1,Microglia,8.750669869920857e-10,-0.2977947944403587,0.056,0.182,1.83764067268338e-5
Bod1l,Microglia,8.810424874140458e-10,-0.3749100132406485,0.096,0.249,1.8501892235694962e-5
Cyp2j6,Microglia,8.946179669364317e-10,-0.31175524346184236,0.004,0.07,1.8786977305665065e-5
Arhgap32,Microglia,9.154353606904221e-10,-0.29488717589708013,0.058,0.185,1.9224142574498866e-5
Cnot7,Microglia,9.378498680044244e-10,-0.2907859460168621,0.056,0.182,1.969484722809291e-5
Ttyh2,Microglia,9.378766431845872e-10,-0.4045632858821719,0.013,0.094,1.9695409506876333e-5
Fam195b,Microglia,9.5134532668227e-10,-0.3745713125835415,0.207,0.426,1.9978251860327672e-5
Oxr1,Microglia,9.678136804636623e-10,-0.37491565891008893,0.079,0.219,2.032408728973691e-5
Chmp2b,Microglia,9.804299705417104e-10,-0.258314943353647,0.073,0.213,2.058902938137592e-5
Tcirg1,Microglia,9.836809507344092e-10,0.67569456181589,0.289,0.122,2.0657299965422593e-5
Armc1,Microglia,9.89877691685514e-10,-0.31736754043586735,0.127,0.304,2.0787431525395796e-5
Kcnip3,Microglia,9.936567660252286e-10,-0.3058195064080134,0.039,0.149,2.08667920865298e-5
Snx15,Microglia,9.991590959217616e-10,-0.3673414708425406,0.099,0.255,2.0982341014356994e-5
Smarca4,Microglia,1.0118623550193204e-9,-0.2899727144951967,0.104,0.264,2.1249109455405727e-5
Lrrtm1,Microglia,1.0162090315642355e-9,-0.2512821411789858,0.016,0.1,2.1340389662848946e-5
Timm9,Microglia,1.0618898199592644e-9,-0.3288893790029756,0.062,0.191,2.229968621914455e-5
Rgs17,Microglia,1.0641232303964103e-9,-0.4978600125141419,0.052,0.17,2.2346587838324617e-5
Ankrd37,Microglia,1.093858057783304e-9,-0.36349367115605796,0.016,0.1,2.2971019213449385e-5
Skap2,Microglia,1.1256933840750017e-9,0.7395115262438471,0.317,0.146,2.3639561065575037e-5
H13,Microglia,1.1579629543289032e-9,-0.26137724046880045,0.04,0.152,2.4317222040906967e-5
Cd84,Microglia,1.160951238014374e-9,0.7421020637711881,0.431,0.261,2.4379975998301853e-5
Mrpl52,Microglia,1.1687052445078598e-9,0.5816102803602208,0.621,0.505,2.4542810134665054e-5
Csnk2a1,Microglia,1.1777653942828874e-9,-0.40073965340230766,0.228,0.447,2.4733073279940633e-5
Slc6a1,Microglia,1.1917415016256873e-9,-0.5606558473868141,0.019,0.106,2.5026571534139433e-5
Vps36,Microglia,1.2051596379689805e-9,-0.3589297144156751,0.113,0.277,2.530835239734859e-5
Tmem47,Microglia,1.253882538737021e-9,-0.3280529225995187,0.019,0.106,2.6331533313477445e-5
Dcaf12,Microglia,1.2539582585567433e-9,-0.33444881192221754,0.058,0.182,2.6333123429691608e-5
Dync1li1,Microglia,1.2572856231460326e-9,-0.26295332036662583,0.077,0.219,2.6402998086066685e-5
Ostf1,Microglia,1.292428046243624e-9,-0.5285410018380681,0.289,0.495,2.7140988971116105e-5
Mog,Microglia,1.3993674317985845e-9,-1.2510684965982428,0.003,0.064,2.9386716067770274e-5
Sumo2,Microglia,1.4237789850990654e-9,-0.485608298998756,0.719,0.833,2.9899358687080373e-5
Sema6d,Microglia,1.4399786019459933e-9,-0.3074487538678088,0.021,0.109,3.0239550640865857e-5
Car2,Microglia,1.4455444276908966e-9,-0.8656753668936189,0.047,0.158,3.035643298150883e-5
Mrpl44,Microglia,1.4560264576731634e-9,-0.28164817195243746,0.041,0.152,3.057655561113643e-5
Ncoa1,Microglia,1.465999472144338e-9,-0.26043356010274865,0.043,0.155,3.07859889150311e-5
Ppme1,Microglia,1.4815358104741019e-9,-0.28371450088903216,0.074,0.213,3.1112252019956136e-5
Sorl1,Microglia,1.4873741792277138e-9,-0.29252586116885126,0.052,0.173,3.123485776378199e-5
Akap12,Microglia,1.4888011450469236e-9,-0.35202456526314424,0.006,0.073,3.1264824045985397e-5
St3gal6,Microglia,1.5155985141061086e-9,0.5540160646416368,0.68,0.559,3.182756879622828e-5
Lyn,Microglia,1.5173363941582544e-9,0.6614867079363347,0.486,0.322,3.1864064277323344e-5
Hint1,Microglia,1.5320325255492695e-9,-0.4330632552445839,0.693,0.827,3.2172683036534663e-5
Sst,Microglia,1.581817117316219e-9,-2.0648267829599107,0.028,0.125,3.3218159463640595e-5
Vps13a,Microglia,1.5825990512202945e-9,-0.2580040685363125,0.043,0.155,3.3234580075626185e-5
Syap1,Microglia,1.5867237185472724e-9,-0.2689622007720897,0.018,0.103,3.332119808949272e-5
Slc30a3,Microglia,1.5887799816551488e-9,-0.3432556445273902,0.037,0.143,3.336437961475813e-5
Cyhr1,Microglia,1.5942590446969316e-9,-0.3049335447803486,0.121,0.292,3.3479439938635566e-5
Hnrnpa0,Microglia,1.6196642074026044e-9,-0.2814435443455983,0.061,0.188,3.401294835545469e-5
Large,Microglia,1.6736484276279264e-9,-0.2503864374390038,0.04,0.149,3.5146616980186456e-5
Tmem127,Microglia,1.6978212047065659e-9,-0.2635115755669045,0.043,0.155,3.5654245298837884e-5
Clec4a3,Microglia,1.7577702313463045e-9,0.7231720736286985,0.289,0.128,3.6913174858272397e-5
Anxa3,Microglia,1.7818451977594352e-9,0.49832061174164455,0.733,0.596,3.741874915294814e-5
Pik3ca,Microglia,1.78301464270067e-9,-0.2907076630415025,0.081,0.225,3.744330749671407e-5
Kidins220,Microglia,1.8047799815152995e-9,-0.2501782862451277,0.058,0.182,3.790037961182129e-5
Nampt,Microglia,1.8061110960348926e-9,-0.4120602318164071,0.049,0.164,3.792833301673275e-5
Ttc14,Microglia,1.8360426844621848e-9,-0.297697475337351,0.104,0.261,3.855689637370588e-5
Nfat5,Microglia,1.8500720753212817e-9,-0.39952205060740376,0.083,0.222,3.885151358174692e-5
Tigd2,Microglia,1.8632907067661417e-9,-0.34052240445820847,0.086,0.231,3.9129104842088974e-5
Pdha1,Microglia,1.8964452548279184e-9,-0.34896209413887674,0.089,0.234,3.982535035138629e-5
Gna15,Microglia,1.908433726451245e-9,0.7397096295022987,0.353,0.185,4.0077108255476146e-5
1110051M20Rik,Microglia,1.9157508954060606e-9,-0.2804130213901044,0.055,0.176,4.023076880352727e-5
Pfdn4,Microglia,1.951559709873739e-9,-0.36011960368668416,0.144,0.322,4.0982753907348525e-5
Ube2n,Microglia,1.9792034121360405e-9,-0.4516622926513605,0.326,0.535,4.156327165485685e-5
Cox19,Microglia,2.0455846072727437e-9,-0.34508194508303086,0.092,0.237,4.2957276752727616e-5
Sacm1l,Microglia,2.0877162111404668e-9,-0.2883060212514856,0.033,0.134,4.38420404339498e-5
Ndufb11,Microglia,2.116731727233527e-9,-0.3990049686961836,0.484,0.717,4.445136627190407e-5
Galnt9,Microglia,2.1409065450602696e-9,-0.26268263846814555,0.015,0.094,4.495903744626566e-5
Rasgrf1,Microglia,2.141009126457626e-9,-0.3191490129100545,0.047,0.161,4.496119165561015e-5
Mapk9,Microglia,2.1604425555752726e-9,-0.25892409487052576,0.031,0.131,4.5369293667080723e-05
Dap3,Microglia,2.1645151019936206e-9,-0.2720441205474142,0.071,0.207,4.5454817141866035e-5
Ap2b1,Microglia,2.1790467435687733e-9,-0.3169391938269982,0.141,0.322,4.575998161494424e-5
Pten,Microglia,2.207903931574227e-9,-0.3302943890834284,0.092,0.24,4.636598256305877e-5
Ppp1r18,Microglia,2.2637740206636016e-9,0.6200087916920337,0.406,0.237,4.753925443393563e-5
Crk,Microglia,2.2935361861532293e-9,-0.2978456553814731,0.065,0.195,4.8164259909217814e-5
Irf5,Microglia,2.2959918972233758e-9,0.6920725637302052,0.428,0.261,4.821582984169089e-5
Srsf1,Microglia,2.3025372715464165e-9,-0.262153095845901,0.055,0.176,4.835328270247475e-5
Tmem50b,Microglia,2.4801987273580274e-9,-0.25624434707998484,0.073,0.21,5.208417327451858e-5
Creld2,Microglia,2.4852626254153656e-9,-0.2968617363931525,0.028,0.125,5.219051513372268e-5
Mocs2,Microglia,2.603524975425852e-9,-0.418988691204262,0.113,0.271,5.4674024483942894e-5
Glul,Microglia,2.641072373817821e-9,0.3718425532005778,0.939,0.897,5.546251985017424e-5
Dctn6,Microglia,2.6753255918728313e-9,-0.30662669958438227,0.113,0.274,5.618183742932946e-5
Taok1,Microglia,2.7055220587705102e-9,-0.3129887046172225,0.111,0.274,5.6815963234180715e-5
Gprasp1,Microglia,2.7505554748668804e-9,-0.404375588821176,0.093,0.237,5.776166497220449e-5
Dlc1,Microglia,2.8368703427717766e-9,-0.4539935231492996,0.037,0.14,5.957427719820731e-5
1110021J02Rik,Microglia,2.8962517797983965e-9,-0.2557891509889161,0.015,0.094,6.0821287375766324e-5
Ndrg2,Microglia,2.9431003343486547e-9,-1.000917611462113,0.105,0.249,6.180510702132175e-5
Apod,Microglia,2.9647825557015675e-9,-0.6854435649003942,0.019,0.103,6.226043366973291e-5
Nptx1,Microglia,2.976455274257576e-9,-0.3775002732943789,0.04,0.146,6.25055607594091e-5
Ndufa8,Microglia,2.986352866077137e-9,-0.4658231022119441,0.427,0.611,6.271341018761988e-5
Cox7c,Microglia,2.995674757817287e-9,-0.36485244236609793,0.76,0.894,6.290916991416302e-5
Hist3h2a,Microglia,3.0269220107232493e-9,-0.279328396632892,0.107,0.264,6.356536222518823e-5
Npas4,Microglia,3.033814787104034e-9,-0.27714484367323844,0.016,0.097,6.371011052918471e-5
Efr3a,Microglia,3.041484688152707e-9,-0.41048449421439814,0.095,0.24,6.387117845120684e-5
Cstf3,Microglia,3.0553019585773437e-9,-0.32725875083716804,0.084,0.225,6.416134113012421e-5
1110003E01Rik,Microglia,3.070034806850195e-9,-0.41107760762429435,0.335,0.559,6.447073094385409e-5
Vim,Microglia,3.0841231704181015e-9,-0.2619642659483058,0.039,0.146,6.476658657878013e-5
Cthrc1,Microglia,3.1702323668564144e-9,-0.29138961295653154,0.009,0.079,6.65748797039847e-5
Eno2,Microglia,3.1821413088049442e-9,-0.2594182137594623,0.05,0.167,6.682496748490383e-5
Cd52,Microglia,3.2171082098319255e-9,0.46911727679108006,0.683,0.495,6.755927240647044e-5
Ssna1,Microglia,3.2366901762700336e-9,-0.3867108700311991,0.161,0.347,6.79704937016707e-5
Ap2a2,Microglia,3.2949030062800855e-9,-0.3007731174065063,0.071,0.204,6.91929631318818e-5
Tceal8,Microglia,3.3243516809425186e-9,-0.4106350511145561,0.161,0.337,6.981138529979288e-5
Apbb2,Microglia,3.4257719153482846e-9,-0.32640768507403717,0.043,0.152,7.194121022231397e-5
Impact,Microglia,3.5010832340484794e-9,-0.42726791266919584,0.156,0.331,7.352274791501806e-5
Rgs2,Microglia,3.6508225975578084e-9,0.6569304568722232,0.748,0.666,7.666727454871398e-5
Zfp238,Microglia,3.6783227527511926e-9,-0.4755110695574744,0.099,0.243,7.724477780777505e-5
Svop,Microglia,3.6792822490434157e-9,-0.25968469896695223,0.041,0.149,7.726492722991173e-5
Rbp4,Microglia,3.750557522945156e-9,-0.42239449179549127,0.006,0.07,7.876170798184828e-5
Ddx24,Microglia,3.774827400913349e-9,-0.41946015855595764,0.412,0.638,7.927137541918033e-5
Hras1,Microglia,3.799943337570994e-9,-0.25452938392247093,0.019,0.103,7.979881008899087e-5
Suclg1,Microglia,3.889176946833714e-9,-0.37739922801131365,0.227,0.444,8.1672715883508e-5
Ebf1,Microglia,3.891178336138637e-9,-0.44648220307907155,0.01,0.082,8.171474505891139e-5
Hmbs,Microglia,3.8968400667089735e-9,-0.3239270090006833,0.033,0.131,8.183364140088844e-5
Cd47,Microglia,3.938706751854165e-9,-0.42703651119927377,0.184,0.374,8.271284178893746e-5
Map2k1,Microglia,3.9437111644754425e-9,-0.453698976382492,0.16,0.337,8.281793445398429e-5
Ddx42,Microglia,3.9598217523179386e-9,-0.2680927743000114,0.083,0.225,8.315625679867671e-5
Sfxn1,Microglia,3.996994498387625e-9,-0.3067355130673567,0.071,0.204,8.393688446614012e-5
Rnd2,Microglia,4.081563404022494e-9,-0.3625240280730045,0.003,0.061,8.571283148447236e-5
Chmp4b,Microglia,4.153798331765671e-9,-0.32809721218224264,0.117,0.277,8.722976496707909e-5
Cyyr1,Microglia,4.265900988185488e-9,-0.26944281380221,0.003,0.061,8.958392075189526e-5
Tek,Microglia,4.265900988185488e-9,-0.30644147089097645,0.003,0.061,8.958392075189526e-5
Lmcd1,Microglia,4.271499689898271e-9,-0.28704083740248265,0.006,0.07,8.970149348786369e-5
Fcgr1,Microglia,4.326595049856311e-9,0.6455375753065531,0.533,0.389,9.085849604698253e-5
Dohh,Microglia,4.5038181709019095e-9,-0.3088269350645144,0.145,0.325,9.45801815889401e-5
Thyn1,Microglia,4.687142599306644e-9,-0.29378993372304496,0.093,0.24,9.842999458543952e-5
Pak1,Microglia,4.758353366239483e-9,-0.4682034669159706,0.169,0.35,9.992542069102915e-5
Clec5a,Microglia,4.878382558581009e-9,0.6411756630385501,0.207,0.064,1.0244603373020118e-4
Ypel2,Microglia,5.041807338369818e-9,-0.2661231026259546,0.03,0.125,1.0587795410576617e-4
Polr2m,Microglia,5.057683421727821e-9,-0.2549772314282593,0.034,0.134,1.0621135185628424e-4
Hspa9,Microglia,5.068014767147243e-9,-0.3327942171792556,0.141,0.316,1.0642831011009211e-4
Sik3,Microglia,5.1652079001618606e-9,-0.26844781038490095,0.033,0.131,1.0846936590339907e-4
Atp8a1,Microglia,5.179605351563588e-9,-0.32471782973244184,0.099,0.246,1.0877171238283534e-4
Gja1,Microglia,5.3456667409373695e-9,-0.5177698819332014,0.013,0.088,1.1225900155968476e-4
Ube2w,Microglia,5.438210954179821e-9,-0.37288985117933215,0.136,0.301,1.1420243003777625e-4
Ola1,Microglia,5.558879847184546e-9,-0.3322644839977751,0.119,0.28,1.1673647679087547e-4
Klc2,Microglia,5.58855317364861e-9,-0.26815231051863964,0.065,0.191,1.1735961664662081e-4
Nudcd3,Microglia,5.6618695571622255e-9,-0.3685721346094869,0.148,0.322,1.1889926070040674e-4
Fastk,Microglia,5.67707555746111e-9,-0.2963088720976053,0.083,0.222,1.192185867066833e-4
Fam120a,Microglia,5.786909688321752e-9,-0.31020497799924074,0.064,0.188,1.2152510345475679e-4
Rprd1a,Microglia,5.800779502115378e-9,-0.26173905309691015,0.047,0.158,1.2181636954442294e-4
Mrpl34,Microglia,5.889947579266652e-9,-0.34148598801685093,0.187,0.383,1.2368889916459968e-4
Slc15a3,Microglia,6.013704394923596e-9,0.5334051887072848,0.437,0.258,1.2628779229339551e-4
Nudt3,Microglia,6.046338765535993e-9,-0.267144875764417,0.076,0.21,1.2697311407625585e-4
Srp14,Microglia,6.058875375523928e-9,-0.39121554235472633,0.529,0.72,1.272363828860025e-4
2700094K13Rik,Microglia,6.172406997366467e-9,-0.37345439046339446,0.184,0.377,1.296205469446958e-4
Lyar,Microglia,6.274681440926404e-9,-0.3037443838874091,0.061,0.182,1.3176831025945448e-4
Slc39a1,Microglia,6.5301873635563576e-9,-0.5410292473308409,0.102,0.243,1.371339346346835e-4
Psmd7,Microglia,6.581795090585976e-9,-0.3864631161065224,0.281,0.514,1.382176969023055e-4
Rab3il1,Microglia,6.6834614998957075e-9,0.6926710437679182,0.425,0.261,1.4035269149780986e-4
Tnf,Microglia,6.692483514974166e-9,0.9347669918925343,0.403,0.243,1.405421538144575e-4
Kif5a,Microglia,6.694656301237371e-9,-0.2674116827875553,0.071,0.201,1.405877823259848e-4
Tm9sf3,Microglia,6.808034839559568e-9,-0.4125093658875888,0.135,0.295,1.4296873163075093e-4
Rangap1,Microglia,6.864298881649533e-9,-0.331829861532293,0.108,0.261,1.4415027651464019e-4
Son,Microglia,7.248623820245721e-9,-0.3589475905578543,0.754,0.888,1.5222110022516014e-4
Slc35b1,Microglia,7.276973615857637e-9,-0.39807386386478616,0.173,0.359,1.5281644593301036e-4
Ddb1,Microglia,7.458737726348866e-9,-0.3169229574144166,0.083,0.219,1.5663349225332617e-4
Srsf5,Microglia,7.605290464376978e-9,0.4095213202328192,0.876,0.842,1.5971109975191654e-4
Chchd7,Microglia,7.675207660078451e-9,-0.34427005602303157,0.087,0.225,1.6117936086164749e-4
Sel1l,Microglia,7.696529612625587e-9,-0.28439797866402755,0.096,0.243,1.6162712186513733e-4
Camkk2,Microglia,7.77265559056611e-9,-0.2683313794221183,0.059,0.179,1.6322576740188832e-4
Zranb2,Microglia,7.943631536933172e-9,-0.3783614940266097,0.215,0.422,1.668162622755966e-4
Rwdd1,Microglia,7.991069480485596e-9,-0.25285809297516093,0.099,0.249,1.678124590901975e-4
Vapa,Microglia,8.070628307374537e-9,-0.3530043144764813,0.138,0.31,1.6948319445486527e-4
Hs3st1,Microglia,8.136170156351746e-9,-0.2771555278164852,0.016,0.094,1.7085957328338668e-4
Mrpl12,Microglia,8.145497765032822e-9,-0.3789123154542683,0.221,0.432,1.7105545306568925e-4
Zfpl1,Microglia,8.303129796986015e-9,-0.31796419478541244,0.08,0.213,1.7436572573670633e-4
4930402H24Rik,Microglia,8.338408033496195e-9,-0.29135369666131905,0.04,0.143,1.751065687034201e-4
Tppp3,Microglia,8.540152978602665e-9,-0.3333110581169445,0.036,0.134,1.7934321255065597e-4
