gene,cell_type,p_val,avg_log2FC,pct.1,pct.2,p_val_adj
Tpt1,Astro,4.1403784394872426e-24,-0.6994435571192881,0.658,0.815,8.694794722923209e-20
S100b,Astro,1.4036767790023168e-23,0.6781182445494087,0.862,0.625,2.947721235904865e-19
Aldoc,Astro,1.478223835717101e-23,0.4356650651649172,1,0.998,3.104270055005912e-19
Mff,Astro,3.0201858690607966e-23,-0.8245254821619101,0.171,0.427,6.342390325027673e-19
Fam195b,Astro,1.1282239318598112e-22,-0.7600608011234846,0.209,0.467,2.3692702569056037e-18
Per3,Astro,2.149570307494761e-22,0.849970513059088,0.574,0.309,4.514097645738998e-18
Mgll,Astro,2.6715982031403406e-22,0.5930702488776229,0.974,0.896,5.610356226594715e-18
Mat2a,Astro,3.579905473344825e-22,0.6515518663597581,0.812,0.595,7.517801494024132e-18
Tmsb10,Astro,4.2603629210433185e-22,-1.3003640366276745,0.348,0.6,8.94676213419097e-18
Cpe,Astro,4.591948570288432e-22,-0.8797871092443827,0.856,0.943,9.643091997605707e-18
Glrx2,Astro,5.2264861060623675e-22,-0.6908315965477058,0.169,0.422,1.0975620822730972e-17
Gnb2,Astro,6.4265617210002485e-22,-0.7408260872416363,0.196,0.444,1.3495779614100521e-17
Chchd2,Astro,9.010635164881059e-22,-0.4415003347453257,0.959,0.99,1.8922333846250222e-17
Acsbg1,Astro,9.021546580931357e-22,0.5652542969274541,0.95,0.81,1.894524781995585e-17
Fscn1,Astro,1.0308917019937315e-21,-0.5778897409728109,0.043,0.217,2.1648725741868362e-17
Gpr37l1,Astro,1.0381443890960141e-21,0.48541660050275137,1,0.926,2.1801032171016295e-17
Por,Astro,1.3576341314694549e-21,0.8039699802583162,0.591,0.323,2.8510316760858555e-17
Id3,Astro,2.8993444400246446e-21,-1.3685594679185598,0.557,0.753,6.088623324051754e-17
Cadm1,Astro,3.930702242291582e-21,-0.7916754925000768,0.658,0.807,8.254474708812321e-17
H2afj,Astro,4.862241799773195e-21,-0.5708491097255265,0.039,0.21,1.0210707779523709e-16
Rexo2,Astro,5.552865879454086e-21,-0.6794334770464117,0.119,0.338,1.166101834685358e-16
